,PC1,PC2
Q1,0.17872911330683203,0.3564567330073695
Q2,0.18696044162922792,0.23223503552169975
Q3,0.1821852875507911,0.11551155115767678
Q4,0.1841701076415277,0.2453352747870433
Q5,0.19021407007429908,0.20717758927954497
Q6,0.18708118897580928,0.2007531372900128
Q7,0.18783240311711483,0.2429076140969737
Q8,0.18678648729618588,0.24901577417416063
Q9,0.18239154589548273,0.12919618075281297
Q10,0.1923626409200223,0.18911719607075053
Q11,0.18669482462212578,0.11051480266138972
Q12,0.1862381959912684,0.21203229440134508
Q13,0.19227287823257486,-0.10616030144703505
Q14,0.19118138722153227,-0.15629704564804264
Q15,0.19023803576877715,-0.15533846755097214
Q16,0.1962884607185116,-0.04865705553368111
Q17,0.18088328547589128,-0.26259517715158126
Q18,0.1935787905363188,-0.1290584017400434
Q19,0.1927359261695192,-0.1536339226292156
Q20,0.19319850989826415,-0.19670071336609346
Q21,0.1911060157140784,-0.2200736790107117
Q22,0.1908591088504233,-0.22347197845896896
Q23,0.19483934551909277,-0.1027812215023219
Q24,0.19313335226971254,-0.06210583227530494
Q25,0.18889573739647386,-0.20787213259756646
Q26,0.19086935836632912,-0.12045026471761612
Q27,0.18975552927301623,-0.0720402449125902
Q28,0.1886698945658867,-0.21401477032595512
