Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.8219814547579235,0.8219814547579235
2,0.045156713131184606,0.8671381678891081
3,0.014600763697744629,0.8817389315868528
4,0.012848776455184,0.8945877080420368
5,0.010361153089516056,0.9049488611315528
6,0.009323856325876583,0.9142727174574294
7,0.007301021107789357,0.9215737385652188
8,0.006523915351598235,0.9280976539168171
9,0.006077018983552982,0.93417467290037
10,0.005098520245867652,0.9392731931462377
11,0.0049913802611278625,0.9442645734073656
12,0.004863602679536789,0.9491281760869024
13,0.004330725928768838,0.9534589020156712
14,0.004167039853897441,0.9576259418695686
15,0.0040972993923475386,0.9617232412619161
16,0.00392737654767258,0.9656506178095887
17,0.003827911701467963,0.9694785295110567
18,0.0035943511323968252,0.9730728806434535
19,0.003392467895541157,0.9764653485389947
20,0.0033201778482050016,0.9797855263871997
21,0.0030070012004899597,0.9827925275876896
22,0.0029538979013701166,0.9857464254890598
23,0.0028639822141537583,0.9886104077032135
24,0.002722891857391486,0.991333299560605
25,0.0024981383284672165,0.9938314378890722
26,0.0024009177492884505,0.9962323556383607
27,0.0019427953524467582,0.9981751509908074
28,0.00182484900919271,1.0000000000000002
