Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.8228893921399729,0.8228893921399729
2,0.04474705258979107,0.867636444729764
3,0.014104915667046527,0.8817413603968105
4,0.012887910490931598,0.8946292708877421
5,0.010352882628485192,0.9049821535162274
6,0.009151182497778753,0.9141333360140061
7,0.007291348590971651,0.9214246846049778
8,0.006545001348759917,0.9279696859537377
9,0.0061596837609130825,0.9341293697146509
10,0.005095518722625308,0.9392248884372761
11,0.0049338144071621876,0.9441587028444384
12,0.004890697360652653,0.949049400205091
13,0.004252233663739642,0.9533016338688306
14,0.004156279809478593,0.9574579136783092
15,0.004078792344715401,0.9615367060230247
16,0.003917613673317649,0.9654543196963423
17,0.00377684907200459,0.9692311687683469
18,0.0035925122462233355,0.9728236810145703
19,0.003402849836294569,0.9762265308508649
20,0.0033130093031831617,0.979539540154048
21,0.0030216297252324744,0.9825611698792804
22,0.0030109140078359914,0.9855720838871165
23,0.0028734102051690058,0.9884454940922854
24,0.0027631283735100455,0.9912086224657954
25,0.00252777717867326,0.9937363996444687
26,0.0024186301192015186,0.9961550297636702
27,0.00199271889649017,0.9981477486601604
28,0.0018522513398394791,0.9999999999999999
