Component,Explained Variance,Cumulative Variance
1,0.8012963021421636,0.8012963021421636
2,0.050321052813936215,0.8516173549560998
3,0.0188222544289791,0.8704396093850789
4,0.014384594998929436,0.8848242043840083
5,0.012014210742962647,0.8968384151269709
6,0.010307510690341092,0.907145925817312
7,0.008212260160582987,0.915358185977895
8,0.00779763883911602,0.923155824817011
9,0.007121354949268844,0.9302771797662798
10,0.006597717980432408,0.9368748977467122
11,0.006137762343432292,0.9430126600901445
12,0.005418371444195852,0.9484310315343404
13,0.005227063843465157,0.9536580953778055
14,0.004341763938487814,0.9579998593162934
15,0.00416354608037315,0.9621634053966666
16,0.0040173414047529376,0.9661807468014195
17,0.0037804701190939454,0.9699612169205135
18,0.0036556272731297144,0.9736168441936432
19,0.0034794979506887467,0.9770963421443319
20,0.0032619975538975172,0.9803583396982295
21,0.0031560275780185038,0.983514367276248
22,0.0029888335609811164,0.9865032008372291
23,0.0029274226404302716,0.9894306234776593
24,0.002606858209649528,0.9920374816873089
25,0.002134150395813756,0.9941716320831226
26,0.002038962288912984,0.9962105943720356
27,0.0020294446887657016,0.9982400390608013
28,0.001759960939198724,1.0
