,PC1,PC2
Q1,0.18066224142741857,0.2611445825826919
Q2,0.19003976054837615,0.13321457708235507
Q3,0.18940757677117306,0.15659628559740496
Q4,0.18469132081112874,0.10540246369177868
Q5,0.19314935777190195,0.11183315648773343
Q6,0.18904701311914313,0.0830803867626365
Q7,0.18691291707115573,0.23590180412664394
Q8,0.18772333818347756,0.2582168104264155
Q9,0.1859474953349241,0.25173694515718675
Q10,0.18938884765805947,0.21146184063329979
Q11,0.18971857920502003,0.3092952150489828
Q12,0.19016861113674768,0.30816119061250036
Q13,0.19099054246500025,-0.13802472065538676
Q14,0.18534779301044307,-0.1707230481961117
Q15,0.18525116968701658,-0.20341851946629208
Q16,0.19752498488339798,-0.0405811758843467
Q17,0.17816116663278392,-0.2740516523752906
Q18,0.1939644146942185,-0.08024558998080812
Q19,0.1939626648239818,-0.12929418860927672
Q20,0.19008505353868757,-0.18621093880035336
Q21,0.1901292803071956,-0.19455523184147872
Q22,0.19055330933230824,-0.20085211602451364
Q23,0.19191210619364696,-0.08396038922978459
Q24,0.18937757763180055,-0.08517066796470811
Q25,0.1885790547371545,-0.20968472850663308
Q26,0.18811796815337525,-0.15028289277360707
Q27,0.19257300005765632,-0.0458906529776876
Q28,0.18698871424707908,-0.22948357757715596
