Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.7994418407668752,0.7994418407668752
2,0.05122761798646425,0.8506694587533394
3,0.0195452772449215,0.8702147359982609
4,0.014404250422405696,0.8846189864206666
5,0.01221447995581145,0.8968334663764781
6,0.010375272034277506,0.9072087384107556
7,0.008426443784078178,0.9156351821948338
8,0.007856613263054488,0.9234917954578883
9,0.007067145810372032,0.9305589412682603
10,0.006695159809635671,0.937254101077896
11,0.006035051318436949,0.9432891523963329
12,0.005412684353656928,0.9487018367499899
13,0.005205937465941692,0.9539077742159315
14,0.0043218758415045615,0.9582296500574361
15,0.004146443895600158,0.9623760939530362
16,0.004032559725967039,0.9664086536790033
17,0.003845395878167792,0.9702540495571711
18,0.0036432396496611473,0.9738972892068323
19,0.0035165193009056616,0.977413808507738
20,0.003223477196012843,0.9806372857037507
21,0.0031677877412287178,0.9838050734449795
22,0.002962926477445593,0.986767999922425
23,0.0029249761923255888,0.9896929761147506
24,0.0025760357191892944,0.9922690118339399
25,0.0020548494919845088,0.9943238613259244
26,0.0019810339239423164,0.9963048952498668
27,0.0019733887324411862,0.998278283982308
28,0.0017217160176922334,1.0000000000000002
