Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.8541126072003203,0.8541126072003203
2,0.039691597946126214,0.8938042051464465
3,0.011781459744187414,0.905585664890634
4,0.009950611706368979,0.915536276597003
5,0.008706812284271842,0.9242430888812748
6,0.007893403131277581,0.9321364920125524
7,0.006217470901373927,0.9383539629139264
8,0.005631369097033227,0.9439853320109596
9,0.004961214653354691,0.9489465466643142
10,0.004755298538849723,0.9537018452031639
11,0.004310282894966364,0.9580121280981303
12,0.003900670450655601,0.9619127985487859
13,0.003565548095417627,0.9654783466442035
14,0.0034051565729969636,0.9688835032172005
15,0.0031720507818277423,0.9720555539990282
16,0.0029737334248903843,0.9750292874239186
17,0.0028333397011065927,0.9778626271250251
18,0.0027033515523596768,0.9805659786773848
19,0.002538308966976444,0.9831042876443613
20,0.0023159890929549355,0.9854202767373162
21,0.002242501558806431,0.9876627782961227
22,0.0021197372521991986,0.9897825155483219
23,0.002001542991910309,0.9917840585402322
24,0.0019056557042023995,0.9936897142444346
25,0.0017830401936093985,0.9954727544380441
26,0.0017241237716776143,0.9971968782097217
27,0.0014612285252290406,0.9986581067349507
28,0.0013418932650493952,1.0
