,PC1,PC2
Q1,0.1803992392450667,0.34593198400454134
Q2,0.19115672431319503,0.193060112182184
Q3,0.18289524238088772,0.08683451197080504
Q4,0.18777203843156298,0.21229155594495633
Q5,0.1959036040746368,0.19589815578200662
Q6,0.1883137118024428,0.1067641476945356
Q7,0.18934825131218602,0.24248645836007393
Q8,0.19083198800124354,0.27220042313621806
Q9,0.17865611744466112,0.13054133379666757
Q10,0.19432547791417512,0.20555688989371326
Q11,0.18251152000662724,0.08132434163685481
Q12,0.18962924696941053,0.24361261423563751
Q13,0.19344651859218784,-0.08271541130008152
Q14,0.18698942798868112,-0.15795350691384777
Q15,0.1860285002125458,-0.1741427798472463
Q16,0.1991136797720204,0.01812399347173673
Q17,0.16940394491910593,-0.30420095765172855
Q18,0.19288926386812696,-0.07368444335677675
Q19,0.1931327498684253,-0.1408696809907772
Q20,0.19308850061592067,-0.20645347499307298
Q21,0.18656563375581225,-0.2549783633248958
Q22,0.18846502522248318,-0.25733474770528475
Q23,0.19761656936584412,-0.05447971057643378
Q24,0.19457346560774627,-0.020629519949343006
Q25,0.1881058934394802,-0.23550303638589906
Q26,0.19185317364759774,-0.10913602407444092
Q27,0.18895037827180236,-0.04448460458516755
Q28,0.18678520277405578,-0.23594028671004402
