Component,Explained Variance,Cumulative Variance
1,0.7523926839452635,0.7523926839452635
2,0.05864520162521019,0.8110378855704736
3,0.022611084032764208,0.8336489696032379
4,0.01834103475348072,0.8519900043567186
5,0.01477572543494686,0.8667657297916654
6,0.012956660906580325,0.8797223906982458
7,0.010961005845659013,0.8906833965439048
8,0.009247313733548436,0.8999307102774533
9,0.009100319979932547,0.9090310302573859
10,0.007825283759832453,0.9168563140172183
11,0.0073808784395747295,0.924237192456793
12,0.0071550568065402815,0.9313922492633333
13,0.006355785900501597,0.9377480351638349
14,0.005896313493502855,0.9436443486573377
15,0.005495048372588392,0.9491393970299261
16,0.005144127767555801,0.9542835247974819
17,0.005027946018613035,0.9593114708160949
18,0.004818828745862763,0.9641302995619577
19,0.0046544010677711115,0.9687847006297289
20,0.004519033635766993,0.9733037342654959
21,0.0042708160609400145,0.9775745503264359
22,0.004088166692302386,0.9816627170187383
23,0.0036985243088188307,0.9853612413275571
24,0.0036014610523857505,0.9889627023799429
25,0.0032236224211720055,0.9921863248011149
26,0.0028053870583423486,0.9949917118594572
27,0.002706229500089264,0.9976979413595465
28,0.0023020586404535787,1.0
